Filename-->;PUNTA_LILA.RFL8;PUNTA_LILA_2.RFL8;PUNTA_LILA_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
360,482;-4,062661263;1,657875032;-0,656028359
361,070;-4,178847793;1,364721968;-8,918820363
361,659;-2,839959892;-1,826484107;-5,367435247
362,247;-8,79892946;-5,957884286;-13,92138123
362,836;-0,45332432;-5,035720407;-17,07729893
363,424;-6,867388062;-8,501715591;-24,19862814
364,013;-9,176546559;-4,30870397;-20,55444119
364,601;-5,87769366;-11,69451051;-27,69400692
365,190;-0,762660174;-2,900652655;-17,92321204
365,778;-2,281254145;-13,5185883;-28,33490209
366,366;0,086194434;-4,649026184;-11,08891111
366,955;1,162313627;-5,725931716;-16,40409184
367,543;7,48370273;1,090728801;-5,816652016
368,131;6,24166759;-2,992278174;-2,634812071
368,719;8,693657717;-0,67095327;-0,904743337
369,307;11,23184494;-1,424092235;-0,793087265
369,895;11,23221317;0,714034857;1,020195462
370,483;8,426072957;-0,706633237;-2,750587461
371,071;9,128919789;2,078593705;-0,806805278
371,659;7,490488378;-0,91890866;-4,580278533
372,247;4,312288651;2,117567254;-1,133102955
372,835;2,531255772;1,430512264;-2,068569342
373,423;2,934872284;1,342328514;-0,230764909
374,011;3,062532661;0,220601681;2,170618309
374,599;2,316197242;2,14621775;2,185651932
375,186;2,437510754;1,702736431;2,205660995
375,774;2,377771086;0,796923332;2,511784238
376,362;1,786484163;1,894504877;2,857893507
376,950;1,588596755;2,837850877;2,803475528
377,537;1,512776959;1,61761329;2,33943693
378,125;1,623345064;1,939682541;2,95801323
378,712;1,497421231;2,720773764;2,195766751
379,300;1,314776995;3,986462653;2,285902799
379,887;1,532243709;3,836491117;1,99461496
380,475;1,211543223;4,230848098;2,261328051
381,062;0,978949533;4,841929092;2,033229158
381,650;0,957971457;4,359223021;1,85260525
382,237;1,105262479;4,232539303;2,248488816
382,824;1,172227253;4,500084873;1,905342071
383,411;1,416747772;4,960433237;1,499225945
383,999;1,768734258;4,564885231;1,643931497
384,586;2,22110529;4,841672992;1,409051046
385,173;2,052341804;4,58337258;1,520986358
385,760;2,209721583;4,187383173;1,354723307
386,347;2,794468313;4,54163568;2,240417396
386,934;3,155003469;5,155754807;2,630218733
387,521;3,171732852;5,114980918;2,750019993
388,108;3,304384142;5,325016086;2,945905226
388,695;3,268634827;5,023388465;2,961774845
389,282;2,951621302;5,449591384;3,193126816
389,869;2,868502122;5,300217557;3,070541376
390,456;2,811565612;5,129105519;2,920815949
391,043;3,004117439;5,582616062;3,017981423
391,630;2,599530968;5,329981346;2,546794924
392,216;2,687607948;5,510653945;2,588647378
392,803;2,575258533;5,429779779;2,386439807
393,390;2,651799729;5,515150553;2,549209205
393,976;2,715492226;5,885116223;2,789964292
394,563;2,905184619;5,582596438;2,671560857
395,149;2,865056432;5,536774967;2,945823715
395,736;3,30921268;6,060878052;3,404965037
396,322;3,394294557;6,097607085;3,645665787
396,909;3,677246324;6,373054027;3,972703372
397,495;3,603416077;6,176615996;3,836604132
398,082;3,925525016;6,781563503;4,147993392
398,668;3,914083616;7,041113561;4,169787564
399,254;4,060442334;7,329721729;4,269884498
399,841;4,115234684;7,592796584;4,470011067
400,427;4,13826766;7,702557334;4,510621192
401,013;4,08469228;7,817438258;4,585991376
401,599;4,109938789;8,013212145;4,700760417
402,185;4,218329624;8,273890475;4,668824765
402,771;4,183293122;8,54461796;4,836733232
403,357;4,232711181;8,452609991;4,731887588
403,943;4,347220257;8,442573978;4,807852711
404,529;4,351943923;8,429309151;4,780710058
405,115;4,297905582;8,306021314;4,706191944
405,701;4,381086195;8,331710565;4,836200669
406,287;4,539093288;8,478787573;4,833783125
406,873;4,710659085;8,72523817;5,039479869
407,459;4,949326862;8,830877373;5,152568832
408,044;5,128635489;8,776702602;5,211577521
408,630;5,209669108;8,938381993;5,460163748
409,216;5,334086707;9,051352474;5,65351757
409,802;5,298678018;8,906115609;5,672526075
410,387;5,510526044;9,121713044;5,718203422
410,973;5,625751431;9,32176196;5,791021992
411,558;5,779656165;9,378220487;6,006456501
412,144;5,859524587;9,312176239;5,985969451
412,729;5,773094939;9,325386712;6,167923776
413,315;5,789117142;9,532371514;6,353757876
413,900;5,825593547;9,457820055;6,340191618
414,485;5,730922714;9,44629392;6,246189577
415,071;5,835217401;9,507872555;6,177467843
415,656;5,746780513;9,477280729;6,236314129
416,241;5,830261736;9,630328325;6,26207214
416,827;5,790800708;9,662957207;6,314244044
417,412;5,798858354;9,680525454;6,250262144
417,997;5,947212993;9,736241509;6,387904587
418,582;6,047769203;9,756308887;6,373296218
419,167;5,977688739;9,814728384;6,451203046
419,752;6,030830951;9,801187464;6,36637002
420,337;5,920349694;9,78826818;6,429844757
420,922;5,961918199;9,839200658;6,39330378
421,507;5,889303585;9,684488967;6,294842102
422,092;5,840826518;9,635362909;6,335427682
422,677;5,727367569;9,603128767;6,379414472
423,261;5,687216888;9,342213797;5,971075514
423,846;5,660741487;9,14357264;5,99052225
424,431;5,475558171;8,928440566;5,809533278
425,016;5,544664355;8,996766365;6,081558971
425,600;5,725437056;9,074028495;6,306760678
426,185;5,860621086;9,300604878;6,53070537
426,770;5,970777489;9,372949514;6,6198825
427,354;6,028558265;9,463579088;6,473180877
427,939;6,065741817;9,605708826;6,441374344
428,523;6,100820289;9,753662961;6,766612781
429,108;6,146520386;9,900267709;6,656599797
429,692;6,324919359;10,07988979;6,914426045
430,276;6,472515642;10,1970841;6,919515217
430,861;6,388868893;10,16755541;6,745273953
431,445;6,237421712;10,00444131;6,554165079
432,029;6,262433681;9,891345941;6,626291893
432,613;6,283586338;9,879958305;6,691135098
433,198;6,332387503;9,726255337;6,65081802
433,782;6,123286347;9,65346009;6,501663192
434,366;6,010650117;9,630522384;6,505526568
434,950;5,948197782;9,708560246;6,475260109
435,534;5,759675022;9,603062505;6,487154274
436,118;5,846691299;9,61335949;6,477958227
436,702;5,856822013;9,594907851;6,441988989
437,286;5,800739312;9,617360427;6,384180027
437,870;5,799314259;9,61136693;6,29915967
438,454;5,69768845;9,554329024;6,327224379
439,038;5,70534077;9,540390406;6,333528076
439,621;5,807173714;9,501044129;6,376644164
440,205;5,868753459;9,394858533;6,291028713
440,789;5,925289814;9,409973866;6,172519904
441,372;5,960103266;9,503524176;6,289239736
