Filename-->;LILA_1.RFL8;LILA_2.RFL8;LILA_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
262,298;-4,088888723;13,82338335;22,93861549
262,893;-25,38283064;14,65663574;14,01310293
263,487;-7,678729148;12,27973393;9,562279495
264,081;3,118040245;10,90367973;7,236522744
264,675;-15,86416678;7,3968246;4,086970665
265,269;3,327085537;7,077286389;5,606909668
265,863;-7,11656463;-2,665122576;0,264549791
266,457;-9,537713181;-0,436345287;6,935186324
267,051;-24,44310431;3,439153827;4,960179094
267,645;-24,60538802;-5,790075661;1,431618211
268,239;-3,644742499;-2,092714789;7,122203253
268,833;2,163649137;-0,98570771;7,081642239
269,427;0,617029415;6,914272603;4,491333112
270,021;24,0491845;4,249822242;9,633587878
270,614;14,29699768;15,80177501;5,799648754
271,208;17,65114651;12,06421805;7,097361187
271,802;19,65640321;10,60197927;2,91021646
272,396;16,62995546;6,123022219;4,875832379
272,989;21,72248933;4,132490528;4,981869823
273,583;21,28872336;1,531587583;4,239440982
274,177;20,91743156;0,146307736;6,983240124
274,770;19,37264629;-26,17257852;5,674939859
275,364;6,64395219;-15,19644029;-7,43947412
275,957;8,03571547;-31,98955166;-5,483359404
276,551;11,78476799;-13,44762144;1,355673893
277,144;22,56277835;-16,20468771;3,600058169
277,737;12,32734614;-29,94424749;1,095050617
278,331;2,997999862;-29,51053229;-5,233918927
278,924;11,29961687;-13,55721307;-3,758332293
279,517;12,16706902;-17,57589669;-1,870203461
280,111;5,438067136;-12,69382425;-0,170164328
280,704;-3,263336713;-35,5052792;7,255990938
281,297;10,26393088;-22,04183189;5,639098514
281,890;8,246774666;-25,69631852;0,369122247
