Filename-->;PETALO_1.RFL8;PETALO_2.RFL8;PETALO_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
264,675;11,91151438;33,70925108;44,18042091
265,269;6,596793779;26,16891459;36,36163508
265,863;11,01888973;22,93189698;31,5154225
266,457;10,7860005;21,68936136;28,95188944
267,051;4,738955935;15,22556481;30,26651294
267,645;6,511381619;12,5906234;25,29906928
268,239;-0,548926186;6,085400135;29,93692379
268,833;-8,43373456;-9,185393283;24,39752205
269,427;-5,722460486;-18,14600716;30,02448204
270,021;4,320855156;-11,29107936;34,69431408
270,614;11,70731739;-2,739139623;34,97923138
271,208;12,59425305;3,374923227;38,91563659
271,802;9,5661381;2,260119187;30,65166612
272,396;5,461830104;3,760496711;24,19966316
272,989;5,251966801;8,757459264;24,88079871
273,583;4,633593796;13,44974944;27,36768693
274,177;13,48600472;15,37560753;21,57360409
274,770;9,44966503;19,92375367;17,39018784
275,364;-13,32027306;14,98538074;-4,309421978
275,957;-8,632881325;14,50437342;3,262118375
276,551;-16,28859318;12,9622166;-0,956544152
277,144;-18,74802451;12,5471515;3,561434382
277,737;-12,54527484;14,09535682;-0,826652545
278,331;-21,45373065;13,36405512;-0,165837656
278,924;-8,380024724;12,03310653;8,451865187
279,517;-9,869774087;16,60087804;15,64211675
280,111;-4,188601507;19,52690034;11,5502105
280,704;2,926715268;16,86526155;20,81091412
281,297;-1,484079472;14,86319896;17,38378376
281,890;5,679903767;13,64806812;23,56389205
282,483;13,05147141;22,90415668;29,99173226
