Filename-->;SEPALO_EXT_1.RFL8;SEPALO_EXT_2.RFL8;SEPALO_EXT_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
276,551;26,35400391;19,05750523;34,44230021
277,144;33,41370807;24,05579334;31,95217758
277,737;29,87459246;27,95656961;18,20881458
278,331;29,06819802;35,94734814;24,00125301
278,924;18,35606946;32,92475992;25,3015787
279,517;13,61204725;36,80672308;21,02855346
280,111;9,463433014;27,49375207;23,42765003
280,704;16,86835265;26,68344659;22,78041158
281,297;13,6355714;24,45492201;18,09250395
281,890;15,18737611;21,78018814;19,34117577
282,483;12,75484471;18,87029951;21,11038372
283,077;16,25489814;14,81104871;31,40139981
283,670;5,997367899;14,04958637;28,91219675
284,263;18,75000046;21,35905577;31,50283943
284,856;21,1745773;25,9423831;29,80470898
285,449;33,03665111;34,53802555;22,30587047
286,042;25,62309491;33,00939918;24,83221522
286,634;34,7434916;38,81224676;44,75420116
