Filename-->;FLOR_1.RFL8;FLOR_2.RFL8;FLOR_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
225,394;12,764933;-6,212690311;12,71280242
225,990;11,3515266;-8,419979313;9,724771162
226,586;9,98281509;-3,007217014;9,903769568
227,182;13,02873964;-0,954357153;9,045644005
227,778;7,327985534;-7,301522166;4,730563893
228,374;0,28864665;-2,690129845;11,7313914
228,971;0,798535952;-3,487648101;12,95411986
229,567;-4,523207178;-7,380305381;13,25527906
230,163;-8,795548137;0,348503299;13,18163228
230,758;0,200184816;-1,354359874;13,11688368
231,354;3,824149184;2,350883747;13,93044517
231,950;-0,105136795;-4,453271794;12,8998536
232,546;-2,405761367;-1,077912433;12,82148162
233,142;1,037859983;6,107697726;19,42537037
233,738;5,734610708;-2,217036576;16,02489302
234,334;2,886003024;-1,610860353;9,50226245
234,929;-0,173837918;-0,208373152;14,30195181
235,525;7,039911777;-1,920945988;15,64462553
236,121;3,337591812;6,641804322;24,89788515
236,716;-4,884147631;10,30057398;28,8247212
237,312;-4,613067685;14,91519842;25,39075431
237,907;-18,07638529;11,32342496;26,22080629
238,503;-23,37092621;12,80779086;23,42888536
239,099;-17,83886348;11,23307708;19,0815944
239,694;-10,59313621;-8,243654062;13,42131923
240,289;-7,141499525;-13,2950194;12,04980725
240,885;-6,89245419;-13,83086474;11,74204159
241,480;-8,980727501;-12,8317652;4,555903598
242,076;3,607214322;-14,59889114;-6,938086692
242,671;4,10276834;-16,85108294;0,276626889
243,266;18,17157975;-3,938730862;2,078774204
243,861;19,98225384;-22,23873345;-4,482419482
244,457;18,55712313;-10,53555713;10,33801656
245,052;8,538264024;17,05561945;17,61960153
245,647;8,703220354;20,5335491;12,71220849
246,242;-1,947923358;9,551988318;8,537615469
246,837;2,344061113;-0,53650485;3,522277498
247,432;-8,913649831;-8,236057013;14,50496977
248,027;-9,15274021;-4,648649608;10,98378229
248,622;-14,17682934;-20,94181546;8,671044803
249,217;-15,37690566;-3,455681271;16,18508313
249,812;-10,0881843;-5,749805555;11,11110889
250,407;2,149178379;-10,81799497;15,86912172
251,002;-3,46820854;-10,85746123;20,56421732
251,597;-3,18834896;2,999999727;26,03389894
252,192;-6,101896082;-1,148859501;21,8283277
252,786;-3,373671605;2,913092666;16,29713528
253,381;-8,380559248;-2,540303003;12,63637852
253,976;-4,4243068;9,762087656;19,7697633
254,571;-10,02159087;-0,17900736;19,47925165
255,165;-22,07462305;4,475434032;22,19880182
255,760;-26,59417654;-5,561241932;20,5902416
256,354;-23,09392178;-10,66770581;17,96768559
256,949;-11,43174317;-18,81955642;12,93720308
257,543;-8,54256007;-15,21409684;22,14854356
258,138;-4,665035104;-12,21646595;24,8437227
258,732;3,270954588;-4,859424161;29,92016852
259,327;-2,461491976;-19,74946217;23,62497355
259,921;2,379876696;-11,37600987;23,07114815
260,515;7,850900864;-25,40280392;10,964636
261,110;3,840023163;-10,91011931;12,66252054
261,704;6,810827376;-3,915608634;12,87323479
262,298;5,7901682;-0,792792567;17,51351337
262,893;-3,988603836;0;17,19951411
263,487;3,034872921;-2,935546574;11,59327799
264,081;-7,357859374;2,248370854;13,30111445
264,675;5,138109647;11,97427887;16,6840463
265,269;0,357211547;5,657549576;12,02697611
265,863;-4,793213132;19,53244228;23,08995653
266,457;-14,1331661;12,840467;22,70958393
267,051;-16,12181024;17,55577196;25,96184894
267,645;-20,30947657;21,67049866;24,03065192
268,239;-8,929836577;26,21090619;18,97315302
268,833;-22,41018566;21,85722456;17,33504078
269,427;-14,42638364;14,47405733;15,79245756
270,021;-18,67167983;12,66055055;17,18654438
270,614;-18,94368525;16,90365564;20,34242489
271,208;-17,41536446;11,07824294;19,28708841
271,802;-4,241208857;13,16421392;19,07835392
272,396;-3,0153505;5,154466431;16,45399622
272,989;5,400981558;0,945110995;11,37768128
273,583;7,96005261;-7,656752368;11,49517757
274,177;12,60568786;0,111234601;15,48016286
274,770;14,56200257;-3,442340415;15,12717559
275,364;15,42915543;-5,36775196;7,662364412
275,957;13,78673645;-6,447688105;12,28710428
276,551;14,65772746;-3,537043369;9,648389335
277,144;10,82119321;3,612606061;7,897770769
277,737;11,07036805;8,64912307;7,719298143
278,331;5,397277497;8,243425853;10,83951488
278,924;6,321070263;12,94189883;16,10820685
279,517;-5,690918199;6,903450979;10,205103
280,111;-15,12432288;10,13071895;12,22222211
280,704;-21,15751243;12,01060702;16,7368589
281,297;-25,49602983;5,797100655;5,676327571
281,890;-22,42914976;2,819578846;11,29415524
