Filename-->;FLOR_1.RFL8;FLOR_2.RFL8;FLOR_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
223,605;73,10126398;70,78870359;68,52482934
224,201;71,74069278;69,45978094;64,39375504
224,798;80,4269483;74,2445213;64,12530933
225,394;69,51278223;59,06898028;54,55860867
225,990;82,73381552;73,1681327;57,34079349
226,586;86,10095332;72,95781949;62,49695231
227,182;96,58238362;90,74743256;66,0183397
227,778;99,28825783;103,8498854;60,46586821
228,374;97,58403443;100,1400579;68,34733732
228,971;82,10995653;88,73699876;68,70727915
229,567;81,52141115;87,21174158;58,84995592
230,163;70,9808485;101,9733038;60,82414398
230,758;78,61456584;122,0603957;63,05506272
231,354;76,11241483;97,59116991;50,01672679
231,950;58,95041886;90,92080401;48,29362658
232,546;60,20664021;80,27551625;35,12836639
233,142;65,38804411;76,56853882;43,94885535
233,738;64,50338658;78,55530409;31,48984239
234,334;59,73094181;67,26457177;25,76980521
234,929;61,29405005;65,82899934;28,74061196
235,525;71,04128553;64,20209726;24,02957661
236,121;72,28747044;69,21140526;35,12304072
236,716;70,49839527;76,98285341;45,17685101
237,312;84,13850834;83,24490088;44,84780633
237,907;78,88857984;88,29935745;40,0446787
238,503;69,31359109;83,79542049;34,50874743
239,099;88,22972284;91,98485469;50,99400346
239,694;89,16049803;96,94435024;44,86973226
240,289;76,32429119;95,18733782;38,95348875
240,885;55,05511935;94,8661406;37,10236374
241,480;51,14251021;84,78652893;29,07396209
242,076;52,09341786;71,37567391;34,8903448
242,671;59,65222835;66,9613961;27,64515355
243,266;61,41162956;51,89470687;37,69164209
243,861;63,01635511;52,39811189;46,10479288
244,457;49,51236004;52,0526214;40,3039243
245,052;51,63686972;47,36475345;45,4608746
245,647;55,36775011;48,5153045;53,90589541
246,242;50,84263653;37,82009044;55,74523885
246,837;51,92086415;38,64734107;54,313319
247,432;46,62199701;43,49525365;40,03349745
248,027;30,4708393;51,09684238;45,53236858
248,622;32,49933356;56,64093297;42,10806395
249,217;36,24465905;56,70406132;43,99038588
249,812;36,35297404;56,81618271;32,10202237
250,407;42,59687714;69,49103737;30,74031316
251,002;49,41140252;66,26393924;36,55514322
251,597;65,90765006;83,36495456;28,55787361
252,192;72,52158238;66,74605351;36,20124958
252,786;74,42898481;73,72013913;51,6671051
253,381;87,86407963;67,10451307;54,31182371
253,976;81,5891986;68,5276574;54,81693217
254,571;81,89755785;68,45169048;53,1431922
255,165;75,21685099;68,99008971;57,49690302
255,760;86,0945841;75,1017882;67,58534223
256,354;78,03761985;87,03609266;69,67463013
256,949;83,00885643;71,85841004;78,3817987
257,543;71,48866638;78,03225035;67,81958201
258,138;76,77497131;69,2659448;63,65824469
258,732;68,26388533;69,39814579;56,24999733
259,327;69,50336557;65,46044252;67,631644
259,921;68,0818636;59,48181922;59,17700722
260,515;79,15665563;56,45619542;67,11820104
261,110;61,7977507;51,68539206;59,75863432
261,704;53,8217403;40,51838286;50,43639265
262,298;46,91635647;51,56054901;45,59300796
262,893;54,87735386;49,05875795;43,32572832
263,487;40,32769392;45,32240931;43,9746271
264,081;53,22455486;48,43305048;54,51955568
264,675;42,28394992;41,10081983;43,33847526
265,269;45,26627244;37,18935068;43,1656806
265,863;41,96519772;53,45445241;41,63254889
266,457;53,40362302;60,00458328;48,65917878
267,051;58,28970343;60,51968361;52,43358715
267,645;67,75979557;68,18569199;60,64735934
268,239;64,58376483;62,3832243;70,23043321
268,833;72,58586802;73,73082601;72,65067956
269,427;73,60417194;75,60286524;68,8681268
270,021;86,08658902;85,68726526;72,71962983
270,614;80,06025247;83,16701314;74,091511
271,208;86,54610752;74,68203755;77,70270473
271,802;88,28452054;64,85355803;79,47698837
272,396;91,88290265;60,1463755;79,35240982
272,989;91,32664453;54,39009134;78,70113502
273,583;89,57336485;62,40031744;71,65071626
274,177;89,69407414;59,36902724;73,0210339
274,770;81,11796712;56,30959228;69,2652832
275,364;78,40347594;49,21952244;62,22090611
275,957;77,6928227;45,69372614;63,21115353
276,551;67,78907347;47,37399539;51,92714796
277,144;66,84319649;51,5081717;50,08058781
277,737;69,77540028;57,45454567;48,87700323
278,331;53,15355361;57,49944038;34,43280381
278,924;46,41678383;54,57331334;32,03677475
279,517;48,49640875;47,84560178;29,93716326
280,111;54,26774702;49,37106765;28,16711646
280,704;54,72138256;57,98554637;38,40055952
281,297;66,86035237;65,01703381;38,68964308
281,890;70,66489865;59,7305051;43,93638067
282,483;73,21937263;60,11395954;35,99918543
283,077;64,25419256;52,20652977;34,88526057
283,670;71,86096229;41,71060364;49,85354437
284,263;75,2233925;37,81478414;56,01137121
284,856;78,64360588;45,51987283;52,14462176
285,449;81,83476402;44,80062359;55,7466779
286,042;72,66187156;45,54856241;47,23471481
286,634;70,45283834;44,68351108;52,6144599
287,227;70,08771943;59,32017315;52,45613875
287,820;64,6659129;49,42242481;60,00000097
