Filename-->;FLOR_ABIERTA.RFL8;FLOR_ABIERTA_2.RFL8;FLOR_ABIERTA_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
269,427;61,37301762;65,28351066;70,23680086
270,021;73,56031961;73,43421813;76,39764626
270,614;74,0538528;75,63547436;79,28827078
271,208;65,93799845;79,84896664;68,64069977
271,802;65,71129749;90,79497837;72,48954082
272,396;66,93280209;93,92327083;73,87447392
272,989;65,86199675;88,05811059;74,87716411
273,583;75,59808597;82,85486176;74,20255019
274,177;70,6883395;86,88337007;85,60229694
274,770;67,28360677;77,77154582;82,38923051
275,364;61,56886084;81,11045136;83,24441833
275,957;46,45828512;75,80390682;79,35686876
276,551;48,26344634;76,72596025;85,72638936
277,144;46,37347289;65,76099465;82,79990976
277,737;45,19786121;60,42780511;83,46523873
278,331;48,1836412;56,94227737;81,50211923
278,924;43,61150432;53,98397094;79,3965073
279,517;45,3545779;45,51166963;61,89407856
280,111;44,38454753;46,24887801;56,96316225
280,704;48,3096318;41,12847062;61,73933535
281,297;60,34862841;50,61110128;70,72731132
281,890;61,76275661;45,96863218;67,85950736
282,483;65,8526649;56,85795481;70,89946734
283,077;70,63106422;53,61870973;67,69638193
283,670;69,40050934;59,59773614;65,76840461
284,263;71,99431091;60,92607757;56,78310484
284,856;77,72288336;72,58028178;74,10734327
285,449;83,78941306;83,94579178;75,86655845
286,042;72,23471336;75,58453392;61,12859639
286,634;78,83412233;66,37477907;56,54240458
