Filename-->;FLOR_CERRADA_.2RFL8.RFL8;FLOR_CERRADA_.RFL8;FLOR_CERRADA_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
220,026;13,52416011;25,07891051;27,99369974
220,623;13,92016452;15,51112565;40,81371603
221,219;16,93148043;19,52809485;44,4141026
221,816;20,28683195;16,21197778;44,06779896
222,412;30,64353906;29,28817979;57,29009705
223,009;34,24135048;29,85392719;55,2982805
223,605;47,97150917;8,691374531;66,98668314
224,201;43,03719318;11,41286716;65,84690733
224,798;42,99116889;6,778496713;60,48565093
225,394;35,71992716;8,687614178;38,93129861
225,990;40,37836328;6,480168688;35,5601535
226,586;33,72746188;15,99640037;31,42181559
227,182;34,79282794;6,564748553;34,52835944
227,778;36,10839281;-1,270358508;25,66111638
228,374;33,28475723;-19,59953788;24,97814035
228,971;25,20811625;-8,674606442;21,07180064
229,567;37,45694308;-31,94170775;33,18024931
230,163;37,53943267;-40,3034785;30,31020048
230,758;39,73228093;-25,67811935;40,34073881
231,354;33,43653389;-14,35262596;32,01754401
231,950;32,02547709;-16,90193534;26,21656101
232,546;22,83604885;-16,26984166;10,46334043
233,142;26,05263064;-3,982621802;15,50239263
233,738;21,46294547;18,11899154;12,872955
234,334;23,10647797;7,645940561;17,81010008
234,929;22,74688441;23,88360661;15,10067143
235,525;32,45936099;31,30771711;17,88148939
236,121;28,08000061;27,9069778;14,96000118
236,716;27,18327352;13,45185275;15,52890488
237,312;16,32462673;6,054279782;9,421642583
237,907;22,80861273;3,297739655;29,1780383
238,503;12,95211677;-3,896480957;29,14226494
239,099;29,96323133;-19,63763762;40,77206029
239,694;22,6567966;-12,94529415;37,45595431
240,289;23,87754915;-23,87218283;55,51020477
240,885;4,848071328;-18,66148397;49,9487873
241,480;12,30674095;-14,69287607;42,67161693
242,076;12,59866409;-12,60173156;43,86763782
242,671;25,60372256;-20,20997426;45,09746759
243,266;14,101058;-12,28239885;35,95769909
243,861;22,98330074;-11,98959665;31,87092872
244,457;17,50758159;-12,39692905;26,38544248
245,052;21,02549254;-8,265392282;33,9730723
245,647;14,54383978;-14,40922252;12,41113776
246,242;20,49227241;-10,3564838;20,80709711
246,837;11,66871915;-3,20726177;23,95320162
247,432;8,313106255;-8,643422578;22,14805719
248,027;17,10170947;2,080957371;23,58235619
248,622;27,42745569;-16,01049748;26,42299232
249,217;18,35631242;-19,7534857;29,68369837
249,812;9,93204362;-2,969714576;20,8834293
250,407;14,30558873;-0,248200674;7,488987047
251,002;15,07137814;11,99812168;13,9246436
251,597;7,217848368;20,78100049;9,164479739
252,192;3,818668386;27,79636663;4,287628267
252,786;3,204584051;34,26029047;6,133276718
253,381;-2,876338956;30,61304176;6,59248334
253,976;-5,486998131;36,60349045;3,349493416
254,571;6,436877455;37,9975436;3,882890513
255,165;2,693385022;37,09178403;9,114415816
255,760;4,289731646;39,84063719;15,16643136
256,354;0,84851573;40,9399484;12,92737638
256,949;13,51134961;33,37093381;19,09212266
257,543;22,05918856;20,50583717;23,50161586
258,138;28,55430418;16,05557733;26,27667336
258,732;35,93453602;6,06812603;33,37286453
259,327;32,42645416;12,46813947;38,22163363
259,921;23,10823777;11,30885331;32,42337302
260,515;25,73320724;1,596379266;26,46641613
261,110;12,52354043;-11,06361537;18,24388021
261,704;22,21953465;-24,45569788;17,48065768
262,298;20,6493495;-16,08706008;11,48051871
262,893;27,80847246;-17,79226909;20,86293151
263,487;30,08423479;-20,40200986;15,04211804
264,081;40,78383499;-6,948439499;13,80894136
264,675;23,80781669;-8,82026198;6,669056631
265,269;21,34561412;-5,418614834;6,768122641
265,863;21,00725974;2,831163514;-2,903811097
266,457;30,65639577;10,49165945;28,71287048
267,051;29,57306619;20,57130634;20,96494195
267,645;14,75644712;23,23928683;-1,575930739
