Filename-->;ENVEZ_1.RFL8;ENVEZ_2.RFL8;ENVEZ_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
241,480;32,14789444;11,66887668;1,775148242
242,076;28,84337965;16,96153184;7,76497679
242,671;30,95819408;16,0106298;-16,13648033
243,266;34,10491418;18,21338395;-7,961007767
243,861;33,92725741;15,99599331;-23,28424451
244,457;33,69846219;27,7365018;-14,65753485
245,052;40,04258164;36,46757765;-7,333842132
245,647;37,23404191;35,9521319;8,766157836
246,242;36,2831859;35,47642023;2,926280617
246,837;40,30703837;38,76394447;7,927205514
247,432;48,88306903;42,06843063;5,311920053
248,027;42,79308011;46,4252028;23,82920148
248,622;42,26110557;42,30769144;18,75165891
249,217;43,00647023;45,9729697;34,57397239
249,812;45,84331259;46,84007707;33,76563292
250,407;35,58484338;37,06096276;29,41029458
251,002;37,63166794;38,4453341;15,50160171
251,597;38,13733129;36,81112894;20,77010123
252,192;37,63336467;36,06813849;22,52972482
252,786;36,50159729;29,99655924;16,67708976
253,381;40,15747918;30,63711906;10,06110969
253,976;35,2436508;26,09430638;15,51832543
254,571;32,86940004;24,00158156;9,504321233
255,165;25,42857132;11,3345165;10,67364635
255,760;32,20071189;19,75511776;10,36347917
256,354;37,37131085;23,754665;16,48985153
256,949;34,52164556;25,91879657;15,79448087
257,543;35,88657744;21,62559757;15,19401598
258,138;35,30046908;22,32046156;17,83224708
258,732;38,28258089;17,22231901;20,09753636
259,327;44,62019388;28,04919134;12,00923809
259,921;44,37754656;32,54908438;24,61719652
260,515;46,86207417;33,70477931;22,31857685
261,110;39,97758313;29,94486678;17,89250367
261,704;38,8357971;25,9007719;13,59489123
262,298;31,63741349;16,95626139;6,874448143
262,893;16,12667631;8,793499875;-15,00129737
263,487;2,349524556;-0,222914884;-13,36405592
264,081;9,140811938;6,988783035;-12,32401896
264,675;2,971549777;4,829835629;-6,276150889
265,269;6,592980299;8,920007332;-13,9855232
265,863;5,176019329;13,4965932;-13,53884052
266,457;12,61744961;18,16311309;-30,89364082
267,051;14,09105487;26,50735276;-32,8327814
267,645;19,36124654;35,83994516;-36,6328727
268,239;21,76275263;41,81172116;-10,92763454
268,833;23,0189214;53,12653037;-3,181362065
269,427;15,00974604;46,37832246;2,541465458
270,021;16,74088669;37,97285097;-3,63450243
270,614;12,337316;26,35372063;-6,514745615
271,208;15,18849042;24,4188269;-6,691729659
271,802;7,141576892;19,03682636;13,87243767
272,396;2,953586431;12,17507623;13,67168526
272,989;2,914294383;8,206572822;26,29063072
273,583;8,155275957;12,28364032;19,20112022
274,177;10,69937336;7,988394197;18,95043786
274,770;18,96095248;17,53649603;13,10894602
275,364;17,61225735;26,47650443;6,718671124
275,957;25,5464677;28,28844595;6,944444923
276,551;23,06021175;29,6289665;0,112891868
277,144;30,25171057;35,50196193;-8,577128062
277,737;26,39906206;32,93180127;0,660264154
278,331;28,77298861;34,47248207;1,202590394
278,924;24,60861146;21,90843669;6,207634423
279,517;28,74352111;22,0928292;-1,304969839
280,111;24,42948635;18,00905032;0,314815064
280,704;26,08695493;21,96287447;4,035798875
281,297;18,96274961;25,91718201;4,057405888
281,890;19,08512018;26,42898635;8,260446414
282,483;17,17740634;21,61272608;11,60477464
283,077;22,81981709;22,09238735;15,59363136
283,670;24,43573605;23,42298331;13,04863722
284,263;31,37883655;26,38935607;9,182292689
284,856;32,45172186;26,22422584;13,41621877
285,449;28,53318408;26,05905041;4,353312611
